role	filename	url	bytes	last_modified	md5
archive 2026-07	variant_summary_2026-07.txt.gz	https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/variant_summary_2026-07.txt.gz	439937684	Thu, 02 Jul 2026 04:05:02 GMT	f03eea5e87f0ef5f696bbc958359fa78
vcf	clinvar_20260728.vcf.gz	https://ftp.ncbi.nlm.nih.gov/pub/clinvar/vcf_GRCh38/clinvar_20260728.vcf.gz	193012905	Tue, 28 Jul 2026 22:07:55 GMT	28d247f7b297d3605a7b10079aa4467e
archive 2021-06	variant_summary_2021-06.txt.gz	https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2021/variant_summary_2021-06.txt.gz	78178141	Thu, 03 Jun 2021 04:05:02 GMT	1f509ba1959d9cf882ee511572f4c185
archive 2022-12	variant_summary_2022-12.txt.gz	https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2022/variant_summary_2022-12.txt.gz	145316022	Thu, 01 Dec 2022 05:05:01 GMT	5e08de585ae392186ae5c3e2a1748003
archive 2021-06	variant_summary_2021-06.txt.gz	https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2021/variant_summary_2021-06.txt.gz	78178141	Thu, 03 Jun 2021 04:05:02 GMT	1f509ba1959d9cf882ee511572f4c185
archive 2022-12	variant_summary_2022-12.txt.gz	https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2022/variant_summary_2022-12.txt.gz	145316022	Thu, 01 Dec 2022 05:05:01 GMT	5e08de585ae392186ae5c3e2a1748003
archive 2024-06	variant_summary_2024-06.txt.gz	https://ftp.ncbi.nlm.nih.gov/pub/clinvar/tab_delimited/archive/2024/variant_summary_2024-06.txt.gz	276058849	Thu, 06 Jun 2024 04:05:16 GMT	b1694d6443cf38ad187987c447e9bcd7
